Player,Receiver_Score,Receiver_Rank,Team
Cam Grandy,6.38751857979186,274.0,CIN
Jaheim Bell,6.394089700516968,275.0,NE
Parker Washington,6.402839186058906,276.0,JAX
Jalen McMillan,6.406052575520013,277.0,TB
Vederian Lowe,6.408539759687052,278.0,NE
Kareem Hunt,6.4111056905092205,279.0,KC
James Conner,6.415652420092469,280.0,ARI
Dameon Pierce,6.417367146295935,281.0,HOU
Gerald Everett,6.418527130295237,282.0,CHI
Ben Sinnott,6.418752517005712,283.0,WAS
Gus Edwards,6.422827155909932,284.0,LAC
Olamide Zaccheaus,6.424995617302373,285.0,WAS
Mo Alie-Cox,6.425153409681712,286.0,IND
John Metchie,6.428031415067325,287.0,HOU
Desmond Ridder,6.428995794333591,288.0,LV
Brandon Allen,6.428995794333591,288.0,SF
Steven Sims,6.428995794333591,288.0,HOU
Russell Wilson,6.428995794333591,288.0,PIT
Andy Dalton,6.428995794333591,288.0,CAR
Derek Carr,6.428995794333591,288.0,NO
Skylar Thompson,6.428995794333591,288.0,MIA
Mac Jones,6.428995794333591,288.0,JAX
Marcus Jones,6.428995794333591,288.0,NE
Marcedes Lewis,6.435392004037774,298.0,CHI
Chris Conley,6.4387851415453365,299.0,SF
Nick Chubb,6.439137095533931,300.0,CLE
Chris Olave,6.439357065559135,301.0,NO
Connor Heyward,6.441375246247432,302.0,PIT
Sincere McCormick,6.444230461223765,303.0,LV
Cam Akers,6.446747660658191,304.0,HOU
Tanner Hudson,6.449926547309384,305.0,CIN
Jonathan Taylor,6.450217926855176,306.0,IND
Parris Campbell,6.450519766387082,307.0,PHI
Ian Thomas,6.452757167218518,308.0,CAR
Malik Heath,6.454607734452531,309.0,GB
Kendrick Bourne,6.455684816664732,310.0,NE
Josh Whyle,6.457813968650852,311.0,TEN
Khalil Herbert,6.457917246000021,312.0,2TM
Jaylen Warren,6.459981231557616,314.0,PIT
Durham Smythe,6.460487745810326,315.0,MIA
Trey Sermon,6.467061954137426,316.0,IND
Tyler Badie,6.469464784756933,317.0,DEN
Cam Akers,6.471572480696035,318.0,MIN
Luke Farrell,6.47213448210405,319.0,JAX
Kendre Miller,6.472497181992008,320.0,NO
Trenton Irwin,6.473307467975757,321.0,CIN
Tyjae Spears,6.473953835584998,322.0,TEN
Khalil Herbert,6.4740807680126,323.0,CHI
Marquez Valdes-Scantling,6.475998843512537,324.0,2TM
Emari Demercado,6.477987447494447,325.0,ARI
Mike Williams,6.480816529979647,326.0,2TM
Derrick Henry,6.481827465302814,327.0,BAL
Luke McCaffrey,6.482108189834909,328.0,WAS
Ainias Smith,6.490260571413949,329.0,PHI
Zay Jones,6.491914433344744,330.0,ARI
Jeremy McNichols,6.496872847980577,331.0,WAS
Odell Beckham Jr.,6.498129370131805,332.0,MIA
Andrew Ogletree,6.498133431264898,333.0,IND
John FitzPatrick,6.500731153290496,334.0,GB
Jaylen Wright,6.502327487908741,335.0,MIA
Josh Allen,6.50242493300923,336.0,BUF
Austin Ekeler,6.503212352862383,337.0,WAS
Rashid Shaheed,6.504625589519076,338.0,NO
Davis Allen,6.507535247620457,339.0,LAR
Jalin Hyatt,6.508175451775573,340.0,NYG
Allen Robinson,6.511010896558675,341.0,DET
Erick All,6.511067559603774,342.0,CIN
Spencer Rattler,6.512329127666924,343.0,NO
Drew Lock,6.512329127666924,343.0,NYG
Jameis Winston,6.512329127666924,343.0,CLE
Joe Flacco,6.512329127666924,343.0,IND
Xavier Smith,6.512744075263856,347.0,LAR
Trevor Lawrence,6.514150943396227,348.0,JAX
Xavier Gipson,6.514926979443109,349.0,NYJ
Zack Moss,6.5181108088685695,350.0,CIN
Mecole Hardman,6.518752116606651,351.0,KC
Quintin Morris,6.527906593697829,352.0,BUF
Kyle Juszczyk,6.5296360389604455,353.0,SF
Xavier Hutchinson,6.532563884639357,354.0,HOU
Michael Mayer,6.532680601216816,355.0,LV
Eric Tomlinson,6.532964301576596,356.0,LAC
Tyler Allgeier,6.533310282719899,357.0,ATL
Kenneth Gainwell,6.533774041844644,358.0,PHI
Jonathan Mingo,6.5351352735223704,359.0,DAL
Roschon Johnson,6.535877243211388,360.0,CHI
David Montgomery,6.539212707185927,361.0,DET
Malik Washington,6.539885835753151,362.0,MIA
Ezekiel Elliott,6.543242116562262,363.0,DAL
Jahan Dotson,6.5498975111969635,364.0,PHI
James Proche,6.55780913815302,366.0,CLE
Diontae Johnson,6.561564902438304,367.0,BAL
Trey Palmer,6.566922059907452,368.0,TB
Jamaal Williams,6.566997598850916,369.0,NO
Jody Fortson,6.566999597632587,370.0,KC
Jake Bobo,6.567052987689019,371.0,SEA
Chris Brooks,6.569836618202412,372.0,GB
Julian Hill,6.5760324928006,373.0,MIA
Tyrone Tracy,6.579219244024478,374.0,NYG
Brian Robinson Jr.,6.5796419138902404,375.0,WAS
Jalen Brooks,6.581205795396301,376.0,DAL
Juanyeh Thomas,6.581616682763974,377.0,DAL
Robbie Chosen,6.582037806870431,378.0,MIA
Jack Stoll,6.584217913679265,379.0,PHI
Jonathan Mingo,6.585431093209547,380.0,CAR
Jordan Whittington,6.586068581841557,381.0,LAR
Robert Woods,6.5896722585553995,382.0,HOU
Devin Singletary,6.595094861838623,383.0,NYG
Aaron Rodgers,6.595662461000257,384.0,NYJ
Jayden Daniels,6.595662461000257,384.0,WAS
Daniel Jones,6.595662461000257,384.0,NYG
Mason Rudolph,6.595662461000257,384.0,TEN
Dak Prescott,6.595662461000257,384.0,DAL
Caleb Williams,6.595662461000257,384.0,CHI
Jacoby Brissett,6.595662461000257,384.0,NE
Jordan Love,6.595662461000257,384.0,GB
Tanner Conner,6.597221186929038,392.0,MIA
Devin Duvernay,6.603283807675164,393.0,JAX
Tip Reiman,6.606100799956551,394.0,ARI
Isaiah Williams,6.606209957457675,395.0,DET
Greg Dulcich,6.609578582147054,396.0,DEN
Scott Matlock,6.609888687052411,397.0,LAC
Michael Burton,6.614347418020577,398.0,DEN
D'Ernest Johnson,6.614973539316205,399.0,JAX
Kylen Granson,6.615209579634412,400.0,IND
DeAndre Carter,6.616156714927257,401.0,CHI
Pharaoh Brown,6.616903707028478,402.0,SEA
Deuce Vaughn,6.617641780986273,403.0,DAL
Antonio Gibson,6.618118284792052,404.0,NE
Josiah Deguara,6.622397733791526,405.0,JAX
Trent Sherfield,6.622749295716429,406.0,MIN
Will Mallory,6.624930630134525,407.0,IND
Malachi Corley,6.628314376893195,408.0,NYJ
Brevin Jordan,6.631841401439697,409.0,HOU
Luke Musgrave,6.632485664518531,410.0,GB
Charlie Woerner,6.634643447899687,411.0,ATL
Grant Calcaterra,6.635358228413615,412.0,PHI
Mike Caliendo,6.635864478947255,413.0,KC
Ross Dwelley,6.635864478947255,413.0,ATL
Tucker Fisk,6.636765426847594,415.0,LAC
Tim Patrick,6.637519269116956,416.0,DET
Patrick Mahomes,6.637900964611251,417.0,KC
Derius Davis,6.640020547893342,418.0,LAC
Ramel Keyton,6.642266678468748,419.0,LV
Isaiah Davis,6.644948280633003,420.0,NYJ
Britain Covey,6.645833456706859,421.0,PHI
Cedrick Wilson Jr.,6.645956878135819,422.0,NO
Julius Chestnut,6.647924355970613,423.0,TEN
Ty Chandler,6.651558814705497,424.0,MIN
